排名,电影名,评分,评价人数,导演,年份,国家,链接
88,一一,9.1,未知,杨德昌 Edward Yang,未知,未知,https://movie.douban.com/subject/1292434/
89,超脱,9.0,未知,托尼·凯耶 Tony Kaye,未知,未知,https://movie.douban.com/subject/5322596/
90,喜剧之王,8.8,未知,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,未知,未知,https://movie.douban.com/subject/1302425/
91,致命ID,8.9,未知,詹姆斯·曼高德 James Mangold,未知,未知,https://movie.douban.com/subject/1297192/
92,杀人回忆,8.9,未知,奉俊昊 Joon-ho Bong,未知,未知,https://movie.douban.com/subject/1300299/
93,摩登时代,9.3,未知,查理·卓别林 Charles Chaplin,未知,未知,https://movie.douban.com/subject/1294371/
94,加勒比海盗,8.8,未知,戈尔·维宾斯基 Gore Verbinski,未知,未知,https://movie.douban.com/subject/1298070/
95,春光乍泄,9.0,未知,王家卫 Kar Wai Wong,未知,未知,https://movie.douban.com/subject/1292679/
96,海豚湾,9.3,未知,路易·西霍尤斯 Louie Psihoyos,未知,未知,https://movie.douban.com/subject/3442220/
97,美国往事,9.1,未知,赛尔乔·莱翁内 Sergio Leone,未知,未知,https://movie.douban.com/subject/1292262/
98,红辣椒,9.0,未知,今敏 Satoshi Kon,未知,未知,https://movie.douban.com/subject/1865703/
99,七宗罪,8.8,未知,大卫·芬奇 David Fincher,未知,未知,https://movie.douban.com/subject/1292223/
100,唐伯虎点秋香,8.8,未知,李力持 Lik-Chi Lee,未知,未知,https://movie.douban.com/subject/1306249/
101,狩猎,9.1,未知,托马斯·温特伯格 Thomas Vinterberg,未知,未知,https://movie.douban.com/subject/6985810/
102,幽灵公主,8.9,未知,宫崎骏 Hayao Miyazaki,未知,未知,https://movie.douban.com/subject/1297359/
103,寄生虫,8.8,未知,奉俊昊 Joon-ho Bong,未知,未知,https://movie.douban.com/subject/27010768/
104,甜蜜蜜,8.9,未知,陈可辛 Peter Chan,未知,未知,https://movie.douban.com/subject/1305164/
105,天书奇谭,9.2,未知,王树忱 Shuchen Wang / 钱运达 Yunda Qian,未知,未知,https://movie.douban.com/subject/1428581/
106,蝙蝠侠：黑暗骑士崛起,8.9,未知,克里斯托弗·诺兰 Christopher Nolan,未知,未知,https://movie.douban.com/subject/3395373/
107,超能陆战队,8.8,未知,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,未知,未知,https://movie.douban.com/subject/11026735/
108,茶馆,9.5,未知,谢添 Tian Xie,未知,未知,https://movie.douban.com/subject/1461403/
109,7号房的礼物,8.9,未知,李焕庆 Hwan-kyeong Lee,未知,未知,https://movie.douban.com/subject/10777687/
110,第六感,8.9,未知,M·奈特·沙马兰 M. Night Shyamalan,未知,未知,https://movie.douban.com/subject/1297630/
111,爱在日落黄昏时,8.9,未知,理查德·林克莱特 Richard Linklater,未知,未知,https://movie.douban.com/subject/1291990/
112,爱在黎明破晓前,8.8,未知,理查德·林克莱特 Richard Linklater,未知,未知,https://movie.douban.com/subject/1296339/
113,头脑特工队,8.9,未知,"彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...
                            2015 / 美国 / 喜剧 动画 冒险",未知,未知,https://movie.douban.com/subject/10533913/
114,哈利·波特与火焰杯,8.8,未知,迈克·内威尔 Mike Newell,未知,未知,https://movie.douban.com/subject/1309055/
115,被嫌弃的松子的一生,8.8,未知,中岛哲也 Tetsuya Nakashima,未知,未知,https://movie.douban.com/subject/1787291/
116,未麻的部屋,9.1,未知,今敏 Satoshi Kon,未知,未知,https://movie.douban.com/subject/1395091/
117,重庆森林,8.8,未知,王家卫 Kar Wai Wong,未知,未知,https://movie.douban.com/subject/1291999/
118,借东西的小人阿莉埃蒂,8.9,未知,米林宏昌 Hiromasa Yonebayashi,未知,未知,https://movie.douban.com/subject/4202302/
119,菊次郎的夏天,8.9,未知,北野武 Takeshi Kitano,未知,未知,https://movie.douban.com/subject/1293359/
120,入殓师,8.9,未知,泷田洋二郎 Yôjirô Takita,未知,未知,https://movie.douban.com/subject/2149806/
121,剪刀手爱德华,8.7,未知,蒂姆·波顿 Tim Burton,未知,未知,https://movie.douban.com/subject/1292370/
122,断背山,8.8,未知,李安 Ang Lee,未知,未知,https://movie.douban.com/subject/1418834/
123,勇敢的心,8.9,未知,梅尔·吉布森 Mel Gibson,未知,未知,https://movie.douban.com/subject/1294639/
124,时空恋旅人,8.8,未知,理查德·柯蒂斯 Richard Curtis,未知,未知,https://movie.douban.com/subject/10577869/
125,玩具总动员3,8.9,未知,李·昂克里奇 Lee Unkrich,未知,未知,https://movie.douban.com/subject/1858711/
126,傲慢与偏见,8.7,未知,乔·怀特 Joe Wright,未知,未知,https://movie.douban.com/subject/1418200/
127,驯龙高手,8.8,未知,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,未知,未知,https://movie.douban.com/subject/2353023/
128,消失的爱人,8.7,未知,大卫·芬奇 David Fincher,未知,未知,https://movie.douban.com/subject/21318488/
129,无人知晓,9.1,未知,是枝裕和 Hirokazu Koreeda,未知,未知,https://movie.douban.com/subject/1292337/
130,倩女幽魂,8.8,未知,程小东 Siu-Tung Ching,未知,未知,https://movie.douban.com/subject/1297447/
131,新世界,8.9,未知,朴勋政 Hoon-jung Park,未知,未知,https://movie.douban.com/subject/10437779/
132,花样年华,8.8,未知,王家卫 Kar Wai Wong,未知,未知,https://movie.douban.com/subject/1291557/
133,一个叫欧维的男人决定去死,8.9,未知,汉内斯·赫尔姆 Hannes Holm,未知,未知,https://movie.douban.com/subject/26628357/
134,色，戒,8.7,未知,李安 Ang Lee,未知,未知,https://movie.douban.com/subject/1828115/
135,完美的世界,9.1,未知,克林特·伊斯特伍德 Clint Eastwood,未知,未知,https://movie.douban.com/subject/1300992/
136,怪兽电力公司,8.8,未知,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,未知,未知,https://movie.douban.com/subject/1291579/
137,教父3,9.0,未知,弗朗西斯·福特·科波拉 Francis Ford Coppola,未知,未知,https://movie.douban.com/subject/1294240/
138,小森林 夏秋篇,9.0,未知,森淳一 Junichi Mori,未知,未知,https://movie.douban.com/subject/25814705/
139,天使爱美丽,8.7,未知,让-皮埃尔·热内 Jean-Pierre Jeunet,未知,未知,https://movie.douban.com/subject/1292215/
140,阳光灿烂的日子,8.8,未知,姜文 Wen Jiang,未知,未知,https://movie.douban.com/subject/1291875/
141,九品芝麻官,8.8,未知,王晶 Jing Wong,未知,未知,https://movie.douban.com/subject/1297518/
142,哪吒闹海,9.2,未知,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,未知,未知,https://movie.douban.com/subject/1307315/
